title,href,star,releasetime,score
长津湖,http://www.maoyan.com/films/257706,"主演：吴京,易烊千玺,段奕宏",2021-09-30,9.5
我和我的父辈,http://www.maoyan.com/films/1417305,"主演：吴京,章子怡,徐峥",2021-09-30,9.5
峰爆,http://www.maoyan.com/films/1356063,"主演：朱一龙,黄志忠,陈数",2021-09-17,9.4
五个扑水的少年,http://www.maoyan.com/films/1328693,"主演：辛云来,冯祥琨,李孝谦",2021-10-01,9.4
远去的牧歌,http://www.maoyan.com/films/1236912,"主演：海拉提·哈木,玛尔江.巴依吐肯,丽娜·夏侃",2018-09-11,9.4
天书奇谭4K纪念版,http://www.maoyan.com/films/622,"主演：丁建华,毕克,苏秀",2021-11-05,9.2
皮皮鲁与鲁西西之罐头小人,http://www.maoyan.com/films/1298314,"主演：洪悦熙,庄则熙,田雨",2021-09-30,9.2
一点就到家,http://www.maoyan.com/films/1331267,"主演：刘昊然,彭昱畅,尹昉",2020-10-04,9.2
拯救甜甜圈：时空大营救,http://www.maoyan.com/films/1332432,"主演：宝木中阳,朱蓉蓉,姜广涛",2021-10-03,9.0
演员,http://www.maoyan.com/films/1447363,"主演：于蓝,王晓棠,秦怡",2021-10-30,9.0
